_id,height,is_habit_drink,is_habit_smoke,is_verified,what_to_find,who_to_date,score
45,151.1908341,1,1,1,3,1,18.29460409
46,151.1908341,0,1,1,1,1,23.67566344
47,151.1908341,2,2,1,0,1,20.97667535
48,151.1908341,0,0,1,1,1,19.56394607
49,151.1908341,1,2,1,2,1,19.13876017
50,151.1908341,1,0,1,1,1,17.09534968
51,151.1908341,0,0,1,0,1,10.80517268
52,151.1908341,1,2,1,1,1,17.77790655
53,151.1908341,2,0,1,0,1,19.31882061
54,151.1908341,0,1,1,1,1,16.81055846
55,151.1908341,1,2,1,3,1,16.11568917
56,151.1908341,1,1,1,0,1,21.48952305
57,151.1908341,1,0,1,2,1,14.31410083
58,151.1908341,2,1,1,2,1,19.34108297
59,151.1908341,2,0,1,0,1,17.40951113
60,151.1908341,2,2,1,2,1,21.12575408
61,151.1908341,1,2,1,3,1,15.70793585
62,151.1908341,0,0,1,4,1,11.41749348
63,151.1908341,1,1,1,3,1,18.1049335
64,151.1908341,1,0,1,2,1,22.7207253
65,151.1908341,2,2,1,0,1,17.19456061
66,151.1908341,2,0,1,2,1,17.87974368
67,151.1908341,0,2,1,3,1,23.63629397
68,151.1908341,0,2,1,2,1,16.71869462
69,151.1908341,2,2,1,1,1,15.39186394
70,151.1908341,1,0,1,1,1,18.63590049
71,151.1908341,0,0,1,3,1,12.43767766
72,151.1908341,1,0,1,0,1,20.61218923
73,151.1908341,2,1,1,0,1,19.69857478
74,151.1908341,2,2,1,1,1,16.91633833
75,151.1908341,1,1,1,1,1,16.85306693
76,151.1908341,0,1,1,1,1,18.97614924
77,151.1908341,0,0,1,1,1,10.75869203
78,151.1908341,1,2,1,0,1,20.23268849
79,151.1908341,2,0,1,2,1,16.81855382
80,151.1908341,0,0,1,1,1,18.36338894
81,151.1908341,0,1,1,4,1,20.50679902
82,151.1908341,0,0,1,1,1,20.67134472
83,151.1908341,1,0,1,4,1,19.4113612
84,151.1908341,2,2,1,4,1,18.80878684
85,151.1908341,2,1,1,0,1,16.03638529
86,151.1908341,1,0,1,1,1,18.36808052
87,151.1908341,0,2,1,3,1,22.0043826
88,151.1908341,0,1,1,4,1,12.04904943
89,151.1908341,2,0,1,4,1,17.50677466
90,169,1,0,1,0,0,34.84731094
91,179,0,0,1,0,0,9.901810164
92,170,1,1,1,3,0,24.19519475
93,165,0,0,1,3,0,42.52155412
94,1.72,1,0,1,0,0,40.43272665
95,172,1,1,1,1,0,15.33351989
96,151.1908341,1,0,1,2,0,0.788539102
97,151.1908341,1,1,1,2,2,15.33351989
98,151.1908341,0,0,1,1,0,11.72446438
99,151.1908341,1,1,1,2,2,15.33351989
100,161,0,0,1,2,2,15.33351989
101,165,0,0,1,1,0,6.864053143
102,168,2,2,1,1,0,12.49112323
103,151.1908341,0,0,1,2,0,48.52192633
104,168,0,0,1,0,0,28.49211384
105,176,1,0,1,3,0,20.28947352
106,151.1908341,0,0,1,3,0,29.66837778
107,166,0,0,1,2,0,15.33351989
108,151.1908341,1,1,1,2,0,15.33351989
109,151.1908341,0,1,1,2,2,15.33351989
110,167,1,0,1,2,1,11.92952916
111,151.1908341,1,0,1,2,0,20.13262744
112,151.1908341,0,0,1,1,1,15.33351989
113,5.6,0,0,1,4,1,11.71208081
114,5.7,1,0,1,3,0,35.19803994
115,172,0,0,1,0,0,15.33351989
116,166,2,1,1,3,0,15.33351989
117,151.1908341,0,1,1,1,0,15.02993303
118,151.1908341,1,1,1,2,1,41.62905768
119,170.68,1,0,1,1,0,20.28947352
120,5.8,0,0,1,2,0,23.10770792
121,170,1,1,1,3,0,17.16240166
122,176,1,0,1,0,0,17.16240166
123,176,1,0,1,0,0,15.92556983
124,151.1908341,0,0,1,0,0,16.10938342
125,151.1908341,1,1,1,2,2,15.33351989
126,178,0,0,1,4,0,16.63659281
127,170,0,0,1,0,0,15.03485867
128,166,0,1,1,3,0,34.79933217
129,151.1908341,0,0,1,1,0,15.92556983
130,171,2,2,1,2,0,25.49348589
131,182,1,0,1,3,0,21.25125029
132,183,2,1,1,0,0,9.044217576
133,183,0,0,1,0,0,7.462896408
134,1.72,0,0,1,3,0,11.71208081
135,173,1,1,1,2,0,28.78040156
136,151.1908341,0,0,1,3,0,21.3884647
137,6,1,0,1,1,0,13.61598628
138,173,0,0,1,1,0,21.95081852
139,151.1908341,1,0,1,1,0,9.559813521
140,151.1908341,0,0,1,0,0,21.38164363
141,100,1,0,1,0,0,15.33351989
142,176,1,1,1,0,0,16.36864975
143,176,0,0,1,2,0,35.43555846
144,182,0,0,1,4,0,15.33351989
145,176,1,2,1,0,0,11.14703151
146,189,1,1,1,0,0,30.83304667
147,178,0,0,1,1,0,21.17797226
148,151.1908341,1,1,1,2,2,15.33351989
149,151.1908341,1,2,1,2,0,22.16233428
150,175.5,1,1,1,0,0,25.33670747
151,169,1,2,1,0,0,16.84342662
152,172,2,0,1,0,0,14.36281214
